Text Collection,# of Positive Labeled Documents,α,C,F1 Score
oh15,10,0.2,1,0.0416
oh15,10,0.2,10,0.0416
oh15,10,0.2,100,0.0416
oh15,10,0.2,1000,0.0416
oh15,10,0.4,0.1,0.2563
oh15,10,0.4,1,0.0429
oh15,10,0.4,10,0.0429
oh15,10,0.4,100,0.0429
oh15,10,0.4,1000,0.0429
oh15,10,0.6,0.1,0.2563
oh15,10,0.6,1,0.0429
oh15,10,0.6,10,0.0429
oh15,10,0.6,100,0.0429
oh15,10,0.6,1000,0.0429
oh15,10,0.8,0.1,0.1190
oh15,10,0.8,1,0.0416
oh15,10,0.8,10,0.0416
oh15,10,0.8,100,0.0416
oh15,10,0.8,1000,0.0416
oh15,10,1.0,0.1,0.0476
oh15,10,1.0,1,0.0388
oh15,10,1.0,10,0.0388
oh15,10,1.0,100,0.0388
oh15,10,1.0,1000,0.0388
oh15,20,0.2,0.1,0.3083
oh15,20,0.2,1,0.1504
oh15,20,0.2,10,0.1504
oh15,20,0.2,100,0.1504
oh15,20,0.2,1000,0.1504
oh15,20,0.4,0.1,0.4395
oh15,20,0.4,1,0.1432
oh15,20,0.4,10,0.1432
oh15,20,0.4,100,0.1432
oh15,20,0.4,1000,0.1432
oh15,20,0.6,0.1,0.4395
oh15,20,0.6,1,0.1432
oh15,20,0.6,10,0.1432
oh15,20,0.6,100,0.1432
oh15,20,0.6,1000,0.1432
oh15,20,0.8,0.1,0.3083
oh15,20,0.8,1,0.1504
oh15,20,0.8,10,0.1504
oh15,20,0.8,100,0.1504
oh15,20,0.8,1000,0.1504
oh15,20,1.0,0.1,0.1972
oh15,20,1.0,1,0.1426
oh15,20,1.0,10,0.1426
oh15,20,1.0,100,0.1426
oh15,20,1.0,1000,0.1426
oh15,30,0.2,0.1,0.4607
oh15,30,0.2,1,0.3255
oh15,30,0.2,10,0.3255
oh15,30,0.2,100,0.3255
oh15,30,0.2,1000,0.3255
oh15,30,0.4,0.1,0.5356
oh15,30,0.4,1,0.3240
oh15,30,0.4,10,0.3240
oh15,30,0.4,100,0.3240
oh15,30,0.4,1000,0.3240
oh15,30,0.6,0.1,0.5356
oh15,30,0.6,1,0.3240
oh15,30,0.6,10,0.3240
oh15,30,0.6,100,0.3240
oh15,30,0.6,1000,0.3240
oh15,30,0.8,0.1,0.4607
oh15,30,0.8,1,0.3255
oh15,30,0.8,10,0.3255
oh15,30,0.8,100,0.3255
oh15,30,0.8,1000,0.3255
oh15,30,1.0,0.1,0.3691
oh15,30,1.0,1,0.3228
oh15,30,1.0,10,0.3228
oh15,30,1.0,100,0.3228
oh15,30,1.0,1000,0.3228
oh15,5,0.2,0.1,0.0302
oh15,5,0.2,1,0.0143
oh15,5,0.2,10,0.0143
oh15,5,0.2,100,0.0143
oh15,5,0.2,1000,0.0143
oh15,5,0.4,0.1,0.0938
oh15,5,0.4,1,0.0143
oh15,5,0.4,10,0.0143
oh15,5,0.4,100,0.0143
oh15,5,0.4,1000,0.0143
oh15,5,0.6,0.1,0.0938
oh15,5,0.6,1,0.0143
oh15,5,0.6,10,0.0143
oh15,5,0.6,100,0.0143
oh15,5,0.6,1000,0.0143
oh15,5,0.8,0.1,0.0302
oh15,5,0.8,1,0.0143
oh15,5,0.8,10,0.0143
oh15,5,0.8,100,0.0143
oh15,5,0.8,1000,0.0143
oh15,5,1.0,0.1,0.0089
oh15,5,1.0,1,0.0125
oh15,5,1.0,10,0.0125
oh15,5,1.0,100,0.0125
oh15,5,1.0,1000,0.0125
re0,1,0.2,0.1,0.0073
re0,1,0.2,1,0.1109
re0,1,0.2,10,0.0724
re0,1,0.2,100,0.0689
re0,1,0.2,1000,0.0689
re0,1,0.4,0.1,0.0203
re0,1,0.4,1,0.1241
re0,1,0.4,10,0.0717
re0,1,0.4,100,0.0678
re0,1,0.4,1000,0.0678
re0,1,0.6,0.1,0.0203
re0,1,0.6,1,0.1241
re0,1,0.6,10,0.0717
re0,1,0.6,100,0.0678
re0,1,0.6,1000,0.0678
re0,1,0.8,0.1,0.0073
re0,1,0.8,1,0.1109
re0,1,0.8,10,0.0724
re0,1,0.8,100,0.0689
re0,1,0.8,1000,0.0689
re0,1,1.0,0.1,0.0036
re0,1,1.0,1,0.0547
re0,1,1.0,10,0.0609
re0,1,1.0,100,0.0650
re0,1,1.0,1000,0.0650
re0,10,0.2,0.1,0.2261
re0,10,0.2,1,0.4463
re0,10,0.2,10,0.4745
re0,10,0.2,100,0.4814
re0,10,0.2,1000,0.4814
re0,10,0.4,0.1,0.3161
re0,10,0.4,1,0.4325
re0,10,0.4,10,0.4447
re0,10,0.4,100,0.4264
re0,10,0.4,1000,0.4264
re0,10,0.6,0.1,0.3161
re0,10,0.6,1,0.4325
re0,10,0.6,10,0.4447
re0,10,0.6,100,0.4264
re0,10,0.6,1000,0.4264
re0,10,0.8,0.1,0.2261
re0,10,0.8,1,0.4463
re0,10,0.8,10,0.4745
re0,10,0.8,100,0.4814
re0,10,0.8,1000,0.4814
re0,10,1.0,0.1,0.1633
re0,10,1.0,1,0.4009
re0,10,1.0,10,0.5155
re0,10,1.0,100,0.5249
re0,10,1.0,1000,0.5249
re0,20,0.2,0.1,0.1813
re0,20,0.2,1,0.3519
re0,20,0.2,10,0.3481
re0,20,0.2,100,0.3595
re0,20,0.2,1000,0.3595
re0,20,0.4,0.1,0.2640
re0,20,0.4,1,0.3404
re0,20,0.4,10,0.3224
re0,20,0.4,100,0.3347
re0,20,0.4,1000,0.3350
re0,20,0.6,0.1,0.2640
re0,20,0.6,1,0.3404
re0,20,0.6,10,0.3224
re0,20,0.6,100,0.3347
re0,20,0.6,1000,0.3350
re0,20,0.8,0.1,0.1813
re0,20,0.8,1,0.3519
re0,20,0.8,10,0.3481
re0,20,0.8,100,0.3595
re0,20,0.8,1000,0.3595
re0,20,1.0,0.1,0.1246
re0,20,1.0,1,0.3245
re0,20,1.0,10,0.3675
re0,20,1.0,100,0.3827
re0,20,1.0,1000,0.3828
re0,30,0.2,0.1,0.2542
re0,30,0.2,1,0.3651
re0,30,0.2,10,0.3676
re0,30,0.2,100,0.3801
re0,30,0.2,1000,0.3800
re0,30,0.4,0.1,0.2935
re0,30,0.4,1,0.3341
re0,30,0.4,10,0.3382
re0,30,0.4,100,0.3547
re0,30,0.4,1000,0.3547
re0,30,0.6,0.1,0.2935
re0,30,0.6,1,0.3341
re0,30,0.6,10,0.3382
re0,30,0.6,100,0.3547
re0,30,0.6,1000,0.3547
re0,30,0.8,0.1,0.2542
re0,30,0.8,1,0.3651
re0,30,0.8,10,0.3676
re0,30,0.8,100,0.3801
re0,30,0.8,1000,0.3800
re0,30,1.0,0.1,0.1864
re0,30,1.0,1,0.3771
re0,30,1.0,10,0.3953
re0,30,1.0,100,0.4085
re0,30,1.0,1000,0.4082
re0,5,0.2,0.1,0.0861
re0,5,0.2,1,0.3278
re0,5,0.2,10,0.3273
re0,5,0.2,100,0.3108
re0,5,0.2,1000,0.3108
re0,5,0.4,0.1,0.1760
re0,5,0.4,1,0.3629
re0,5,0.4,10,0.3115
re0,5,0.4,100,0.2957
re0,5,0.4,1000,0.2957
re0,5,0.6,0.1,0.1760
re0,5,0.6,1,0.3629
re0,5,0.6,10,0.3115
re0,5,0.6,100,0.2957
re0,5,0.6,1000,0.2957
re0,5,0.8,0.1,0.0861
re0,5,0.8,1,0.3278
re0,5,0.8,10,0.3273
re0,5,0.8,100,0.3108
re0,5,0.8,1000,0.3108
re0,5,1.0,0.1,0.0434
re0,5,1.0,1,0.2738
re0,5,1.0,10,0.3549
re0,5,1.0,100,0.3601
re0,5,1.0,1000,0.3601
re1,1,0.2,0.1,0.0224
re1,1,0.2,1,0.0710
re1,1,0.2,10,0.0549
re1,1,0.2,100,0.0549
re1,1,0.2,1000,0.0549
re1,1,0.4,0.1,0.0468
re1,1,0.4,1,0.0827
re1,1,0.4,10,0.0512
re1,1,0.4,100,0.0516
re1,1,0.4,1000,0.0516
re1,1,0.6,0.1,0.0468
re1,1,0.6,1,0.0827
re1,1,0.6,10,0.0512
re1,1,0.6,100,0.0516
re1,1,0.6,1000,0.0516
re1,1,0.8,0.1,0.0224
re1,1,0.8,1,0.0710
re1,1,0.8,10,0.0549
re1,1,0.8,100,0.0549
re1,1,0.8,1000,0.0549
re1,1,1.0,0.1,0.0118
re1,1,1.0,1,0.0450
re1,1,1.0,10,0.0543
re1,1,1.0,100,0.0544
re1,1,1.0,1000,0.0544
re1,10,0.2,0.1,0.1938
re1,10,0.2,1,0.3558
re1,10,0.2,10,0.3264
re1,10,0.2,100,0.3275
re1,10,0.2,1000,0.3275
re1,10,0.4,0.1,0.2707
re1,10,0.4,1,0.3546
re1,10,0.4,10,0.3081
re1,10,0.4,100,0.3081
re1,10,0.4,1000,0.3081
re1,10,0.6,0.1,0.2707
re1,10,0.6,1,0.3546
re1,10,0.6,10,0.3081
re1,10,0.6,100,0.3081
re1,10,0.6,1000,0.3081
re1,10,0.8,0.1,0.1938
