Text Collection,# of Positive Labeled Documents,k,One Class Learning Threshold,F1 Score
tr12,30,17,0.90,0.0123
tr12,30,17,0.95,0.0115
tr12,30,17,average+1sigma,0.0287
tr12,30,17,average+2sigma,0.0209
tr12,30,17,average+3sigma,0.0165
tr12,30,17,average-1sigma,0.0460
tr12,30,17,average-2sigma,0.0658
tr12,30,17,average-3sigma,0.0979
tr12,30,17,average,0.0415
tr12,30,17,minimum,0.2905
tr12,30,19,0.05,0.0878
tr12,30,19,0.10,0.1374
tr12,30,19,0.15,0.2027
tr12,30,19,0.20,0.2465
tr12,30,19,0.25,0.2734
tr12,30,19,0.30,0.2765
tr12,30,19,0.35,0.2438
tr12,30,19,0.40,0.2172
tr12,30,19,0.45,0.1808
tr12,30,19,0.50,0.1364
tr12,30,19,0.55,0.1046
tr12,30,19,0.60,0.0786
tr12,30,19,0.65,0.0459
tr12,30,19,0.70,0.0382
tr12,30,19,0.75,0.0267
tr12,30,19,0.80,0.0145
tr12,30,19,0.85,0.0142
tr12,30,19,0.90,0.0142
tr12,30,19,0.95,0.0126
tr12,30,19,average+1sigma,0.0302
tr12,30,19,average+2sigma,0.0230
tr12,30,19,average+3sigma,0.0184
tr12,30,19,average-1sigma,0.0510
tr12,30,19,average-2sigma,0.0574
tr12,30,19,average-3sigma,0.0856
tr12,30,19,average,0.0415
tr12,30,19,minimum,0.2877
tr12,30,1,0.05,0.0963
tr12,30,1,0.10,0.1583
tr12,30,1,0.15,0.2182
tr12,30,1,0.20,0.2286
tr12,30,1,0.25,0.2080
tr12,30,1,0.30,0.1795
tr12,30,1,0.35,0.1471
tr12,30,1,0.40,0.1132
tr12,30,1,0.45,0.0807
tr12,30,1,0.50,0.0486
tr12,30,1,0.55,0.0252
tr12,30,1,0.60,0.0088
tr12,30,1,0.65,0.0084
tr12,30,1,0.70,0.0082
tr12,30,1,0.75,0.0082
tr12,30,1,0.80,0.0044
tr12,30,1,0.85,0.0024
tr12,30,1,0.90,0.0000
tr12,30,1,0.95,0.0000
tr12,30,1,average+1sigma,0.1484
tr12,30,1,average+2sigma,0.1323
tr12,30,1,average+3sigma,0.1108
tr12,30,1,average-1sigma,0.1982
tr12,30,1,average-2sigma,0.2127
tr12,30,1,average-3sigma,0.2313
tr12,30,1,average,0.1688
tr12,30,1,minimum,0.1894
tr12,30,3,0.05,0.0888
tr12,30,3,0.10,0.1495
tr12,30,3,0.15,0.2316
tr12,30,3,0.20,0.2783
tr12,30,3,0.25,0.2678
tr12,30,3,0.30,0.2407
tr12,30,3,0.35,0.1939
tr12,30,3,0.40,0.1373
tr12,30,3,0.45,0.1045
tr12,30,3,0.50,0.0751
tr12,30,3,0.55,0.0486
tr12,30,3,0.60,0.0361
tr12,30,3,0.65,0.0266
tr12,30,3,0.70,0.0144
tr12,30,3,0.75,0.0089
tr12,30,3,0.80,0.0086
tr12,30,3,0.85,0.0086
tr12,30,3,0.90,0.0086
tr12,30,3,0.95,0.0076
tr12,30,3,average+1sigma,0.0910
tr12,30,3,average+2sigma,0.0835
tr12,30,3,average+3sigma,0.0669
tr12,30,3,average-1sigma,0.1294
tr12,30,3,average-2sigma,0.1689
tr12,30,3,average-3sigma,0.1913
tr12,30,3,average,0.1039
tr12,30,3,minimum,0.2655
tr12,30,5,0.05,0.0886
tr12,30,5,0.10,0.1482
tr12,30,5,0.15,0.2224
tr12,30,5,0.20,0.2679
tr12,30,5,0.25,0.2742
tr12,30,5,0.30,0.2491
tr12,30,5,0.35,0.2050
tr12,30,5,0.40,0.1594
tr12,30,5,0.45,0.1399
tr12,30,5,0.50,0.0923
tr12,30,5,0.55,0.0666
tr12,30,5,0.60,0.0521
tr12,30,5,0.65,0.0315
tr12,30,5,0.70,0.0148
tr12,30,5,0.75,0.0092
tr12,30,5,0.80,0.0094
tr12,30,5,0.85,0.0094
tr12,30,5,0.90,0.0094
tr12,30,5,0.95,0.0090
tr12,30,5,average+1sigma,0.0825
tr12,30,5,average+2sigma,0.0668
tr12,30,5,average+3sigma,0.0499
tr12,30,5,average-1sigma,0.1061
tr12,30,5,average-2sigma,0.1377
tr12,30,5,average-3sigma,0.1680
tr12,30,5,average,0.0964
tr12,30,5,minimum,0.2944
tr12,30,7,0.05,0.0884
tr12,30,7,0.10,0.1442
tr12,30,7,0.15,0.2208
tr12,30,7,0.20,0.2656
tr12,30,7,0.25,0.2835
tr12,30,7,0.30,0.2686
tr12,30,7,0.35,0.2085
tr12,30,7,0.40,0.1687
tr12,30,7,0.45,0.1453
tr12,30,7,0.50,0.1083
tr12,30,7,0.55,0.0756
tr12,30,7,0.60,0.0482
tr12,30,7,0.65,0.0263
tr12,30,7,0.70,0.0170
tr12,30,7,0.75,0.0172
tr12,30,7,0.80,0.0113
tr12,30,7,0.85,0.0104
tr12,30,7,0.90,0.0104
tr12,30,7,0.95,0.0090
tr12,30,7,average+1sigma,0.0528
tr12,30,7,average+2sigma,0.0497
tr12,30,7,average+3sigma,0.0475
tr12,30,7,average-1sigma,0.0809
tr12,30,7,average-2sigma,0.0894
tr12,30,7,average-3sigma,0.1172
tr12,30,7,average,0.0713
tr12,30,7,minimum,0.3027
tr12,30,9,0.05,0.0885
tr12,30,9,0.10,0.1432
tr12,30,9,0.15,0.2124
tr12,30,9,0.20,0.2588
tr12,30,9,0.25,0.2777
tr12,30,9,0.30,0.2735
tr12,30,9,0.35,0.2239
tr12,30,9,0.40,0.1952
tr12,30,9,0.45,0.1539
tr12,30,9,0.50,0.1216
tr12,30,9,0.55,0.0833
tr12,30,9,0.60,0.0674
tr12,30,9,0.65,0.0346
tr12,30,9,0.70,0.0317
tr12,30,9,0.75,0.0217
tr12,30,9,0.80,0.0107
tr12,30,9,0.85,0.0107
tr12,30,9,0.90,0.0107
tr12,30,9,0.95,0.0104
tr12,30,9,average+1sigma,0.0486
tr12,30,9,average+2sigma,0.0404
tr12,30,9,average+3sigma,0.0364
tr12,30,9,average-1sigma,0.0666
tr12,30,9,average-2sigma,0.0876
tr12,30,9,average-3sigma,0.1196
tr12,30,9,average,0.0610
tr12,30,9,minimum,0.2922
tr12,5,11,0.05,0.3582
tr12,5,11,0.10,0.5627
tr12,5,11,0.15,0.6269
tr12,5,11,0.20,0.5793
tr12,5,11,0.25,0.5148
tr12,5,11,0.30,0.4156
tr12,5,11,0.35,0.3453
tr12,5,11,0.40,0.2784
tr12,5,11,0.45,0.2265
tr12,5,11,0.50,0.1589
tr12,5,11,0.55,0.0901
tr12,5,11,0.60,0.0326
tr12,5,11,0.65,0.0203
tr12,5,11,0.70,0.0114
tr12,5,11,0.75,0.0063
tr12,5,11,0.80,0.0063
tr12,5,11,0.85,0.0063
tr12,5,11,0.90,0.0056
tr12,5,11,0.95,0.0056
tr12,5,11,average+1sigma,0.0036
tr12,5,11,average+2sigma,0.0033
tr12,5,11,average+3sigma,0.0005
tr12,5,11,average-1sigma,0.0071
tr12,5,11,average-2sigma,0.0246
tr12,5,11,average-3sigma,0.1214
tr12,5,11,average,0.0063
tr12,5,11,minimum,0.0846
tr12,5,13,0.05,0.3582
tr12,5,13,0.10,0.5627
tr12,5,13,0.15,0.6269
tr12,5,13,0.20,0.5793
tr12,5,13,0.25,0.5148
tr12,5,13,0.30,0.4156
tr12,5,13,0.35,0.3453
tr12,5,13,0.40,0.2784
tr12,5,13,0.45,0.2265
tr12,5,13,0.50,0.1589
tr12,5,13,0.55,0.0901
tr12,5,13,0.60,0.0326
tr12,5,13,0.65,0.0203
tr12,5,13,0.70,0.0114
tr12,5,13,0.75,0.0063
tr12,5,13,0.80,0.0063
tr12,5,13,0.85,0.0063
tr12,5,13,0.90,0.0056
tr12,5,13,0.95,0.0056
tr12,5,13,average+1sigma,0.0036
tr12,5,13,average+2sigma,0.0033
tr12,5,13,average+3sigma,0.0005
tr12,5,13,average-1sigma,0.0071
tr12,5,13,average-2sigma,0.0246
tr12,5,13,average-3sigma,0.1214
tr12,5,13,average,0.0063
tr12,5,13,minimum,0.0846
tr12,5,15,0.05,0.3582
tr12,5,15,0.10,0.5627
tr12,5,15,0.15,0.6269
tr12,5,15,0.20,0.5793
tr12,5,15,0.25,0.5148
tr12,5,15,0.30,0.4156
tr12,5,15,0.35,0.3453
tr12,5,15,0.40,0.2784
tr12,5,15,0.45,0.2265
tr12,5,15,0.50,0.1589
tr12,5,15,0.55,0.0901
tr12,5,15,0.60,0.0326
tr12,5,15,0.65,0.0203
tr12,5,15,0.70,0.0114
tr12,5,15,0.75,0.0063
tr12,5,15,0.80,0.0063
tr12,5,15,0.85,0.0063
tr12,5,15,0.90,0.0056
tr12,5,15,0.95,0.0056
tr12,5,15,average+1sigma,0.0036
tr12,5,15,average+2sigma,0.0033
tr12,5,15,average+3sigma,0.0005
tr12,5,15,average-1sigma,0.0071
tr12,5,15,average-2sigma,0.0246
tr12,5,15,average-3sigma,0.1214
tr12,5,15,average,0.0063
tr12,5,15,minimum,0.0846
tr12,5,17,0.05,0.3582
tr12,5,17,0.10,0.5627
tr12,5,17,0.15,0.6269
tr12,5,17,0.20,0.5793
tr12,5,17,0.25,0.5148
tr12,5,17,0.30,0.4156
tr12,5,17,0.35,0.3453
tr12,5,17,0.40,0.2784
tr12,5,17,0.45,0.2265
tr12,5,17,0.50,0.1589
tr12,5,17,0.55,0.0901
tr12,5,17,0.60,0.0326
tr12,5,17,0.65,0.0203
tr12,5,17,0.70,0.0114
tr12,5,17,0.75,0.0063
tr12,5,17,0.80,0.0063
tr12,5,17,0.85,0.0063
tr12,5,17,0.90,0.0056
tr12,5,17,0.95,0.0056
tr12,5,17,average+1sigma,0.0036
tr12,5,17,average+2sigma,0.0033
tr12,5,17,average+3sigma,0.0005
tr12,5,17,average-1sigma,0.0071
tr12,5,17,average-2sigma,0.0246
tr12,5,17,average-3sigma,0.1214
tr12,5,17,average,0.0063
tr12,5,17,minimum,0.0846
tr12,5,19,0.05,0.3582
tr12,5,19,0.10,0.5627
tr12,5,19,0.15,0.6269
tr12,5,19,0.20,0.5793
tr12,5,19,0.25,0.5148
tr12,5,19,0.30,0.4156
tr12,5,19,0.35,0.3453
tr12,5,19,0.40,0.2784
tr12,5,19,0.45,0.2265
tr12,5,19,0.50,0.1589
tr12,5,19,0.55,0.0901
tr12,5,19,0.60,0.0326
tr12,5,19,0.65,0.0203
tr12,5,19,0.70,0.0114
tr12,5,19,0.75,0.0063
tr12,5,19,0.80,0.0063
tr12,5,19,0.85,0.0063
tr12,5,19,0.90,0.0056
tr12,5,19,0.95,0.0056
tr12,5,19,average+1sigma,0.0036
tr12,5,19,average+2sigma,0.0033
tr12,5,19,average+3sigma,0.0005
tr12,5,19,average-1sigma,0.0071
tr12,5,19,average-2sigma,0.0246
tr12,5,19,average-3sigma,0.1214
tr12,5,19,average,0.0063
tr12,5,19,minimum,0.0846
tr12,5,1,0.05,0.3727
tr12,5,1,0.10,0.5867
tr12,5,1,0.15,0.6366
tr12,5,1,0.20,0.5596
tr12,5,1,0.25,0.4465
tr12,5,1,0.30,0.3568
tr12,5,1,0.35,0.2585
tr12,5,1,0.40,0.1737
tr12,5,1,0.45,0.1211
tr12,5,1,0.50,0.0713
tr12,5,1,0.55,0.0318
tr12,5,1,0.60,0.0125
tr12,5,1,0.65,0.0072
tr12,5,1,0.70,0.0021
tr12,5,1,0.75,0.0013
tr12,5,1,0.80,0.0013
tr12,5,1,0.85,0.0013
tr12,5,1,0.90,0.0010
tr12,5,1,0.95,0.0010
tr12,5,1,average+1sigma,0.0088
tr12,5,1,average+2sigma,0.0060
tr12,5,1,average+3sigma,0.0057
tr12,5,1,average-1sigma,0.0747
tr12,5,1,average-2sigma,0.1752
tr12,5,1,average-3sigma,0.3480
tr12,5,1,average,0.0217
tr12,5,1,minimum,0.3343
tr12,5,3,0.05,0.3639
tr12,5,3,0.10,0.5877
tr12,5,3,0.15,0.6425
tr12,5,3,0.20,0.5878
tr12,5,3,0.25,0.5180
tr12,5,3,0.30,0.4239
tr12,5,3,0.35,0.3355
tr12,5,3,0.40,0.2665
tr12,5,3,0.45,0.1884
tr12,5,3,0.50,0.1365
tr12,5,3,0.55,0.0717
tr12,5,3,0.60,0.0363
tr12,5,3,0.65,0.0148
tr12,5,3,0.70,0.0084
tr12,5,3,0.75,0.0046
tr12,5,3,0.80,0.0046
tr12,5,3,0.85,0.0046
tr12,5,3,0.90,0.0016
tr12,5,3,0.95,0.0016
tr12,5,3,average+1sigma,0.0051
tr12,5,3,average+2sigma,0.0026
tr12,5,3,average+3sigma,0.0021
tr12,5,3,average-1sigma,0.0093
tr12,5,3,average-2sigma,0.0453
tr12,5,3,average-3sigma,0.1796
tr12,5,3,average,0.0051
tr12,5,3,minimum,0.1643
tr12,5,5,0.05,0.3582
tr12,5,5,0.10,0.5627
tr12,5,5,0.15,0.6269
tr12,5,5,0.20,0.5793
tr12,5,5,0.25,0.5148
tr12,5,5,0.30,0.4156
tr12,5,5,0.35,0.3453
tr12,5,5,0.40,0.2784
tr12,5,5,0.45,0.2265
tr12,5,5,0.50,0.1589
tr12,5,5,0.55,0.0901
tr12,5,5,0.60,0.0326
tr12,5,5,0.65,0.0203
tr12,5,5,0.70,0.0114
tr12,5,5,0.75,0.0063
tr12,5,5,0.80,0.0063
tr12,5,5,0.85,0.0063
tr12,5,5,0.90,0.0056
tr12,5,5,0.95,0.0056
tr12,5,5,average+1sigma,0.0036
tr12,5,5,average+2sigma,0.0033
tr12,5,5,average+3sigma,0.0005
tr12,5,5,average-1sigma,0.0071
tr12,5,5,average-2sigma,0.0246
tr12,5,5,average-3sigma,0.1214
tr12,5,5,average,0.0063
tr12,5,5,minimum,0.0846
tr12,5,7,0.05,0.3582
tr12,5,7,0.10,0.5627
tr12,5,7,0.15,0.6269
tr12,5,7,0.20,0.5793
tr12,5,7,0.25,0.5148
tr12,5,7,0.30,0.4156
tr12,5,7,0.35,0.3453
tr12,5,7,0.40,0.2784
tr12,5,7,0.45,0.2265
tr12,5,7,0.50,0.1589
tr12,5,7,0.55,0.0901
tr12,5,7,0.60,0.0326
tr12,5,7,0.65,0.0203
tr12,5,7,0.70,0.0114
tr12,5,7,0.75,0.0063
tr12,5,7,0.80,0.0063
tr12,5,7,0.85,0.0063
tr12,5,7,0.90,0.0056
tr12,5,7,0.95,0.0056
tr12,5,7,average+1sigma,0.0036
tr12,5,7,average+2sigma,0.0033
tr12,5,7,average+3sigma,0.0005
tr12,5,7,average-1sigma,0.0071
tr12,5,7,average-2sigma,0.0246
tr12,5,7,average-3sigma,0.1214
tr12,5,7,average,0.0063
tr12,5,7,minimum,0.0846
tr12,5,9,0.05,0.3582
tr12,5,9,0.10,0.5627
tr12,5,9,0.15,0.6269
tr12,5,9,0.20,0.5793
tr12,5,9,0.25,0.5148
tr12,5,9,0.30,0.4156
tr12,5,9,0.35,0.3453
tr12,5,9,0.40,0.2784
tr12,5,9,0.45,0.2265
tr12,5,9,0.50,0.1589
tr12,5,9,0.55,0.0901
tr12,5,9,0.60,0.0326
tr12,5,9,0.65,0.0203
tr12,5,9,0.70,0.0114
tr12,5,9,0.75,0.0063
tr12,5,9,0.80,0.0063
tr12,5,9,0.85,0.0063
tr12,5,9,0.90,0.0056
tr12,5,9,0.95,0.0056
tr12,5,9,average+1sigma,0.0036
tr12,5,9,average+2sigma,0.0033
tr12,5,9,average+3sigma,0.0005
tr12,5,9,average-1sigma,0.0071
tr12,5,9,average-2sigma,0.0246
tr12,5,9,average-3sigma,0.1214
tr12,5,9,average,0.0063
tr12,5,9,minimum,0.0846
tr21,1,11,0.05,0.4461
tr21,1,11,0.10,0.4827
tr21,1,11,0.15,0.3918
tr21,1,11,0.20,0.2805
tr21,1,11,0.25,0.1869
tr21,1,11,0.30,0.1434
tr21,1,11,0.35,0.1158
tr21,1,11,0.40,0.0960
tr21,1,11,0.45,0.0755
tr21,1,11,0.50,0.0610
tr21,1,11,0.55,0.0542
tr21,1,11,0.60,0.0391
tr21,1,11,0.65,0.0369
tr21,1,11,0.70,0.0356
tr21,1,11,0.75,0.0347
tr21,1,11,0.80,0.0039
tr21,1,11,0.85,0.0039
tr21,1,11,0.90,0.0009
tr21,1,11,0.95,0.0000
tr21,1,11,average+1sigma,0.0000
tr21,1,11,average+2sigma,0.0000
tr21,1,11,average+3sigma,0.0000
tr21,1,11,average-1sigma,0.0000
tr21,1,11,average-2sigma,0.0000
tr21,1,11,average-3sigma,0.0000
tr21,1,11,average,0.0000
tr21,1,11,minimum,0.0000
tr21,1,13,0.05,0.4461
tr21,1,13,0.10,0.4827
tr21,1,13,0.15,0.3918
tr21,1,13,0.20,0.2805
tr21,1,13,0.25,0.1869
tr21,1,13,0.30,0.1434
tr21,1,13,0.35,0.1158
tr21,1,13,0.40,0.0960
tr21,1,13,0.45,0.0755
tr21,1,13,0.50,0.0610
tr21,1,13,0.55,0.0542
tr21,1,13,0.60,0.0391
tr21,1,13,0.65,0.0369
tr21,1,13,0.70,0.0356
tr21,1,13,0.75,0.0347
tr21,1,13,0.80,0.0039
tr21,1,13,0.85,0.0039
tr21,1,13,0.90,0.0009
tr21,1,13,0.95,0.0000
tr21,1,13,average+1sigma,0.0000
tr21,1,13,average+2sigma,0.0000
tr21,1,13,average+3sigma,0.0000
tr21,1,13,average-1sigma,0.0000
tr21,1,13,average-2sigma,0.0000
tr21,1,13,average-3sigma,0.0000
tr21,1,13,average,0.0000
tr21,1,13,minimum,0.0000
tr21,1,15,0.05,0.4461
tr21,1,15,0.10,0.4827
tr21,1,15,0.15,0.3918
tr21,1,15,0.20,0.2805
tr21,1,15,0.25,0.1869
tr21,1,15,0.30,0.1434
tr21,1,15,0.35,0.1158
tr21,1,15,0.40,0.0960
tr21,1,15,0.45,0.0755
tr21,1,15,0.50,0.0610
tr21,1,15,0.55,0.0542
tr21,1,15,0.60,0.0391
tr21,1,15,0.65,0.0369
tr21,1,15,0.70,0.0356
tr21,1,15,0.75,0.0347
tr21,1,15,0.80,0.0039
tr21,1,15,0.85,0.0039
tr21,1,15,0.90,0.0009
tr21,1,15,0.95,0.0000
tr21,1,15,average+1sigma,0.0000
tr21,1,15,average+2sigma,0.0000
tr21,1,15,average+3sigma,0.0000
tr21,1,15,average-1sigma,0.0000
tr21,1,15,average-2sigma,0.0000
tr21,1,15,average-3sigma,0.0000
tr21,1,15,average,0.0000
tr21,1,15,minimum,0.0000
tr21,1,17,0.05,0.4461
tr21,1,17,0.10,0.4827
tr21,1,17,0.15,0.3918
tr21,1,17,0.20,0.2805
tr21,1,17,0.25,0.1869
tr21,1,17,0.30,0.1434
tr21,1,17,0.35,0.1158
tr21,1,17,0.40,0.0960
tr21,1,17,0.45,0.0755
tr21,1,17,0.50,0.0610
tr21,1,17,0.55,0.0542
tr21,1,17,0.60,0.0391
tr21,1,17,0.65,0.0369
tr21,1,17,0.70,0.0356
tr21,1,17,0.75,0.0347
tr21,1,17,0.80,0.0039
tr21,1,17,0.85,0.0039
tr21,1,17,0.90,0.0009
tr21,1,17,0.95,0.0000
tr21,1,17,average+1sigma,0.0000
tr21,1,17,average+2sigma,0.0000
tr21,1,17,average+3sigma,0.0000
tr21,1,17,average-1sigma,0.0000
tr21,1,17,average-2sigma,0.0000
tr21,1,17,average-3sigma,0.0000
tr21,1,17,average,0.0000
tr21,1,17,minimum,0.0000
tr21,1,19,0.05,0.4461
tr21,1,19,0.10,0.4827
tr21,1,19,0.15,0.3918
tr21,1,19,0.20,0.2805
tr21,1,19,0.25,0.1869
tr21,1,19,0.30,0.1434
tr21,1,19,0.35,0.1158
tr21,1,19,0.40,0.0960
tr21,1,19,0.45,0.0755
tr21,1,19,0.50,0.0610
tr21,1,19,0.55,0.0542
tr21,1,19,0.60,0.0391
tr21,1,19,0.65,0.0369
tr21,1,19,0.70,0.0356
tr21,1,19,0.75,0.0347
tr21,1,19,0.80,0.0039
tr21,1,19,0.85,0.0039
tr21,1,19,0.90,0.0009
tr21,1,19,0.95,0.0000
tr21,1,19,average+1sigma,0.0000
tr21,1,19,average+2sigma,0.0000
tr21,1,19,average+3sigma,0.0000
tr21,1,19,average-1sigma,0.0000
tr21,1,19,average-2sigma,0.0000
tr21,1,19,average-3sigma,0.0000
tr21,1,19,average,0.0000
tr21,1,19,minimum,0.0000
tr21,1,1,0.05,0.4461
tr21,1,1,0.10,0.4827
tr21,1,1,0.15,0.3918
tr21,1,1,0.20,0.2805
tr21,1,1,0.25,0.1869
tr21,1,1,0.30,0.1434
tr21,1,1,0.35,0.1158
tr21,1,1,0.40,0.0960
tr21,1,1,0.45,0.0755
tr21,1,1,0.50,0.0610
tr21,1,1,0.55,0.0542
tr21,1,1,0.60,0.0391
tr21,1,1,0.65,0.0369
tr21,1,1,0.70,0.0356
tr21,1,1,0.75,0.0347
tr21,1,1,0.80,0.0039
tr21,1,1,0.85,0.0039
tr21,1,1,0.90,0.0009
tr21,1,1,0.95,0.0000
tr21,1,1,average+1sigma,0.0000
tr21,1,1,average+2sigma,0.0000
tr21,1,1,average+3sigma,0.0000
tr21,1,1,average-1sigma,0.0000
tr21,1,1,average-2sigma,0.0000
tr21,1,1,average-3sigma,0.0000
tr21,1,1,average,0.0000
tr21,1,1,minimum,0.0000
tr21,1,3,0.05,0.4461
tr21,1,3,0.10,0.4827
tr21,1,3,0.15,0.3918
tr21,1,3,0.20,0.2805
tr21,1,3,0.25,0.1869
tr21,1,3,0.30,0.1434
tr21,1,3,0.35,0.1158
tr21,1,3,0.40,0.0960
tr21,1,3,0.45,0.0755
tr21,1,3,0.50,0.0610
tr21,1,3,0.55,0.0542
tr21,1,3,0.60,0.0391
tr21,1,3,0.65,0.0369
tr21,1,3,0.70,0.0356
tr21,1,3,0.75,0.0347
tr21,1,3,0.80,0.0039
tr21,1,3,0.85,0.0039
tr21,1,3,0.90,0.0009
tr21,1,3,0.95,0.0000
tr21,1,3,average+1sigma,0.0000
tr21,1,3,average+2sigma,0.0000
tr21,1,3,average+3sigma,0.0000
tr21,1,3,average-1sigma,0.0000
tr21,1,3,average-2sigma,0.0000
tr21,1,3,average-3sigma,0.0000
tr21,1,3,average,0.0000
tr21,1,3,minimum,0.0000
tr21,1,5,0.05,0.4461
tr21,1,5,0.10,0.4827
tr21,1,5,0.15,0.3918
tr21,1,5,0.20,0.2805
tr21,1,5,0.25,0.1869
tr21,1,5,0.30,0.1434
tr21,1,5,0.35,0.1158
tr21,1,5,0.40,0.0960
tr21,1,5,0.45,0.0755
tr21,1,5,0.50,0.0610
tr21,1,5,0.55,0.0542
tr21,1,5,0.60,0.0391
tr21,1,5,0.65,0.0369
tr21,1,5,0.70,0.0356
tr21,1,5,0.75,0.0347
tr21,1,5,0.80,0.0039
tr21,1,5,0.85,0.0039
tr21,1,5,0.90,0.0009
tr21,1,5,0.95,0.0000
tr21,1,5,average+1sigma,0.0000
tr21,1,5,average+2sigma,0.0000
tr21,1,5,average+3sigma,0.0000
tr21,1,5,average-1sigma,0.0000
tr21,1,5,average-2sigma,0.0000
tr21,1,5,average-3sigma,0.0000
tr21,1,5,average,0.0000
tr21,1,5,minimum,0.0000
tr21,1,7,0.05,0.4461
tr21,1,7,0.10,0.4827
tr21,1,7,0.15,0.3918
tr21,1,7,0.20,0.2805
tr21,1,7,0.25,0.1869
tr21,1,7,0.30,0.1434
tr21,1,7,0.35,0.1158
tr21,1,7,0.40,0.0960
tr21,1,7,0.45,0.0755
tr21,1,7,0.50,0.0610
tr21,1,7,0.55,0.0542
tr21,1,7,0.60,0.0391
tr21,1,7,0.65,0.0369
tr21,1,7,0.70,0.0356
tr21,1,7,0.75,0.0347
tr21,1,7,0.80,0.0039
tr21,1,7,0.85,0.0039
tr21,1,7,0.90,0.0009
tr21,1,7,0.95,0.0000
tr21,1,7,average+1sigma,0.0000
tr21,1,7,average+2sigma,0.0000
tr21,1,7,average+3sigma,0.0000
tr21,1,7,average-1sigma,0.0000
tr21,1,7,average-2sigma,0.0000
tr21,1,7,average-3sigma,0.0000
tr21,1,7,average,0.0000
tr21,1,7,minimum,0.0000
tr21,1,9,0.05,0.4461
tr21,1,9,0.10,0.4827
tr21,1,9,0.15,0.3918
tr21,1,9,0.20,0.2805
tr21,1,9,0.25,0.1869
tr21,1,9,0.30,0.1434
tr21,1,9,0.35,0.1158
tr21,1,9,0.40,0.0960
tr21,1,9,0.45,0.0755
tr21,1,9,0.50,0.0610
tr21,1,9,0.55,0.0542
tr21,1,9,0.60,0.0391
tr21,1,9,0.65,0.0369
tr21,1,9,0.70,0.0356
tr21,1,9,0.75,0.0347
tr21,1,9,0.80,0.0039
tr21,1,9,0.85,0.0039
tr21,1,9,0.90,0.0009
tr21,1,9,0.95,0.0000
tr21,1,9,average+1sigma,0.0000
tr21,1,9,average+2sigma,0.0000
tr21,1,9,average+3sigma,0.0000
tr21,1,9,average-1sigma,0.0000
tr21,1,9,average-2sigma,0.0000
tr21,1,9,average-3sigma,0.0000
tr21,1,9,average,0.0000
tr21,1,9,minimum,0.0000
tr21,10,11,0.05,0.2624
tr21,10,11,0.10,0.3446
tr21,10,11,0.15,0.3841
tr21,10,11,0.20,0.3774
tr21,10,11,0.25,0.3400
tr21,10,11,0.30,0.3126
tr21,10,11,0.35,0.2744
tr21,10,11,0.40,0.2354
tr21,10,11,0.45,0.1675
tr21,10,11,0.50,0.1327
tr21,10,11,0.55,0.1046
tr21,10,11,0.60,0.0663
tr21,10,11,0.65,0.0512
tr21,10,11,0.70,0.0436
tr21,10,11,0.75,0.0361
tr21,10,11,0.80,0.0261
tr21,10,11,0.85,0.0235
tr21,10,11,0.90,0.0106
tr21,10,11,0.95,0.0000
tr21,10,11,average+1sigma,0.0084
tr21,10,11,average+2sigma,0.0060
tr21,10,11,average+3sigma,0.0048
tr21,10,11,average-1sigma,0.0248
tr21,10,11,average-2sigma,0.0340
tr21,10,11,average-3sigma,0.0549
tr21,10,11,average,0.0158
tr21,10,11,minimum,0.2136
tr21,10,13,0.05,0.2624
tr21,10,13,0.10,0.3446
tr21,10,13,0.15,0.3841
tr21,10,13,0.20,0.3774
tr21,10,13,0.25,0.3400
tr21,10,13,0.30,0.3126
tr21,10,13,0.35,0.2744
tr21,10,13,0.40,0.2354
tr21,10,13,0.45,0.1675
tr21,10,13,0.50,0.1327
tr21,10,13,0.55,0.1046
tr21,10,13,0.60,0.0663
tr21,10,13,0.65,0.0512
tr21,10,13,0.70,0.0436
tr21,10,13,0.75,0.0361
tr21,10,13,0.80,0.0261
tr21,10,13,0.85,0.0235
tr21,10,13,0.90,0.0106
tr21,10,13,0.95,0.0000
tr21,10,13,average+1sigma,0.0084
tr21,10,13,average+2sigma,0.0060
tr21,10,13,average+3sigma,0.0048
tr21,10,13,average-1sigma,0.0248
tr21,10,13,average-2sigma,0.0340
tr21,10,13,average-3sigma,0.0549
tr21,10,13,average,0.0158
tr21,10,13,minimum,0.2136
tr21,10,15,0.05,0.2624
tr21,10,15,0.10,0.3446
tr21,10,15,0.15,0.3841
tr21,10,15,0.20,0.3774
tr21,10,15,0.25,0.3400
tr21,10,15,0.30,0.3126
tr21,10,15,0.35,0.2744
tr21,10,15,0.40,0.2354
tr21,10,15,0.45,0.1675
tr21,10,15,0.50,0.1327
tr21,10,15,0.55,0.1046
tr21,10,15,0.60,0.0663
tr21,10,15,0.65,0.0512
tr21,10,15,0.70,0.0436
tr21,10,15,0.75,0.0361
tr21,10,15,0.80,0.0261
tr21,10,15,0.85,0.0235
tr21,10,15,0.90,0.0106
tr21,10,15,0.95,0.0000
tr21,10,15,average+1sigma,0.0084
tr21,10,15,average+2sigma,0.0060
tr21,10,15,average+3sigma,0.0048
tr21,10,15,average-1sigma,0.0248
tr21,10,15,average-2sigma,0.0340
tr21,10,15,average-3sigma,0.0549
tr21,10,15,average,0.0158
tr21,10,15,minimum,0.2136
