Text Collection,Classifier (NB/EM),# of Positive Labeled Documents,α,λ,# of iterations (m),Weight of Unlabeled Documents in EM,F1 Score,Standard Deviation,Negative Precision
tr41,EM,20,0.99,0.7,1,0.7,0.1348,0.1193,0.9674
tr41,EM,20,0.99,0.7,1,0.9,0.1340,0.1186,0.9674
tr41,EM,20,0.99,0.7,2,0.1,0.1350,0.1202,0.9853
tr41,EM,20,0.99,0.7,2,0.3,0.1343,0.1200,0.9853
tr41,EM,20,0.99,0.7,2,0.5,0.1341,0.1200,0.9853
tr41,EM,20,0.99,0.7,2,0.7,0.1340,0.1201,0.9853
tr41,EM,20,0.99,0.7,2,0.9,0.1340,0.1201,0.9853
tr41,EM,20,0.99,0.7,3,0.1,0.1332,0.1200,0.9805
tr41,EM,20,0.99,0.7,3,0.3,0.1329,0.1197,0.9805
tr41,EM,20,0.99,0.7,3,0.5,0.1328,0.1194,0.9805
tr41,EM,20,0.99,0.7,3,0.7,0.1326,0.1192,0.9805
tr41,EM,20,0.99,0.7,3,0.9,0.1325,0.1191,0.9805
tr41,EM,20,0.99,0.8,1,0.1,0.2159,0.1288,0.9656
tr41,EM,20,0.99,0.8,1,0.3,0.1436,0.1187,0.9656
tr41,EM,20,0.99,0.8,1,0.5,0.1384,0.1182,0.9656
tr41,EM,20,0.99,0.8,1,0.7,0.1376,0.1180,0.9656
tr41,EM,20,0.99,0.8,1,0.9,0.1369,0.1171,0.9656
tr41,EM,20,0.99,0.8,2,0.1,0.1324,0.1199,0.9825
tr41,EM,20,0.99,0.8,2,0.3,0.1322,0.1201,0.9825
tr41,EM,20,0.99,0.8,2,0.5,0.1320,0.1201,0.9825
tr41,EM,20,0.99,0.8,2,0.7,0.1319,0.1200,0.9825
tr41,EM,20,0.99,0.8,2,0.9,0.1318,0.1199,0.9825
tr41,EM,20,0.99,0.8,3,0.1,0.1314,0.1196,0.9852
tr41,EM,20,0.99,0.8,3,0.3,0.1312,0.1195,0.9852
tr41,EM,20,0.99,0.8,3,0.5,0.1313,0.1194,0.9852
tr41,EM,20,0.99,0.8,3,0.7,0.1313,0.1193,0.9852
tr41,EM,20,0.99,0.8,3,0.9,0.1312,0.1191,0.9852
tr41,EM,30,0.99,0.6,1,0.1,0.2049,0.1295,0.9868
tr41,EM,30,0.99,0.6,1,0.3,0.1509,0.1235,0.9868
tr41,EM,30,0.99,0.6,1,0.5,0.1477,0.1230,0.9868
tr41,EM,30,0.99,0.6,1,0.7,0.1474,0.1226,0.9868
tr41,EM,30,0.99,0.6,1,0.9,0.1468,0.1223,0.9868
tr41,EM,30,0.99,0.6,2,0.1,0.1486,0.1238,0.9887
tr41,EM,30,0.99,0.6,2,0.3,0.1479,0.1236,0.9887
tr41,EM,30,0.99,0.6,2,0.5,0.1477,0.1235,0.9887
tr41,EM,30,0.99,0.6,2,0.7,0.1474,0.1233,0.9887
tr41,EM,30,0.99,0.6,2,0.9,0.1472,0.1232,0.9887
tr41,EM,30,0.99,0.6,3,0.1,0.1462,0.1230,0.9908
tr41,EM,30,0.99,0.6,3,0.3,0.1466,0.1227,0.9908
tr41,EM,30,0.99,0.6,3,0.5,0.1465,0.1226,0.9908
tr41,EM,30,0.99,0.6,3,0.7,0.1462,0.1223,0.9908
tr41,EM,30,0.99,0.6,3,0.9,0.1459,0.1222,0.9908
tr41,EM,30,0.99,0.7,1,0.1,0.2127,0.1351,0.9864
tr41,EM,30,0.99,0.7,1,0.3,0.1526,0.1259,0.9864
tr41,EM,30,0.99,0.7,1,0.5,0.1495,0.1248,0.9864
tr41,EM,30,0.99,0.7,1,0.7,0.1482,0.1238,0.9864
tr41,EM,30,0.99,0.7,1,0.9,0.1473,0.1231,0.9864
tr41,EM,30,0.99,0.7,2,0.1,0.1440,0.1219,0.9915
tr41,EM,30,0.99,0.7,2,0.3,0.1435,0.1221,0.9915
tr41,EM,30,0.99,0.7,2,0.5,0.1431,0.1220,0.9915
tr41,EM,30,0.99,0.7,2,0.7,0.1428,0.1218,0.9915
tr41,EM,30,0.99,0.7,2,0.9,0.1430,0.1218,0.9915
tr41,EM,30,0.99,0.7,3,0.1,0.1428,0.1221,0.9878
tr41,EM,30,0.99,0.7,3,0.3,0.1425,0.1218,0.9878
tr41,EM,30,0.99,0.7,3,0.5,0.1423,0.1217,0.9878
tr41,EM,30,0.99,0.7,3,0.7,0.1422,0.1211,0.9878
tr41,EM,30,0.99,0.7,3,0.9,0.1424,0.1209,0.9878
tr41,EM,30,0.99,0.8,1,0.1,0.2146,0.1422,0.9812
tr41,EM,30,0.99,0.8,1,0.3,0.1579,0.1226,0.9812
tr41,EM,30,0.99,0.8,1,0.5,0.1499,0.1218,0.9812
tr41,EM,30,0.99,0.8,1,0.7,0.1490,0.1213,0.9812
tr41,EM,30,0.99,0.8,1,0.9,0.1483,0.1208,0.9812
tr41,EM,30,0.99,0.8,2,0.1,0.1408,0.1211,0.9888
tr41,EM,30,0.99,0.8,2,0.3,0.1405,0.1216,0.9888
tr41,EM,30,0.99,0.8,2,0.5,0.1402,0.1214,0.9888
tr41,EM,30,0.99,0.8,2,0.7,0.1400,0.1213,0.9888
tr41,EM,30,0.99,0.8,2,0.9,0.1399,0.1211,0.9888
tr41,EM,30,0.99,0.8,3,0.1,0.1402,0.1211,0.9900
tr41,EM,30,0.99,0.8,3,0.3,0.1396,0.1207,0.9900
tr41,EM,30,0.99,0.8,3,0.5,0.1395,0.1206,0.9900
tr41,EM,30,0.99,0.8,3,0.7,0.1393,0.1204,0.9900
tr41,EM,30,0.99,0.8,3,0.9,0.1393,0.1204,0.9900
tr41,NB,1,0.99,0.6,1,0.1,0.1137,0.1079,0.9304
tr41,NB,1,0.99,0.6,2,0.1,0.1170,0.1122,0.9300
tr41,NB,1,0.99,0.6,3,0.1,0.1177,0.1130,0.9305
tr41,NB,1,0.99,0.7,1,0.1,0.1117,0.1073,0.9261
tr41,NB,1,0.99,0.7,2,0.1,0.1165,0.1128,0.9313
tr41,NB,1,0.99,0.7,3,0.1,0.1179,0.1139,0.9324
tr41,NB,1,0.99,0.8,1,0.1,0.1079,0.0982,0.9171
tr41,NB,1,0.99,0.8,2,0.1,0.1153,0.1131,0.9292
tr41,NB,1,0.99,0.8,3,0.1,0.1176,0.1132,0.9308
tr41,NB,5,0.99,0.6,1,0.1,0.1127,0.1071,0.9337
tr41,NB,5,0.99,0.6,2,0.1,0.1159,0.1131,0.9458
tr41,NB,5,0.99,0.6,3,0.1,0.1156,0.1142,0.9544
tr41,NB,5,0.99,0.7,1,0.1,0.1115,0.1082,0.9352
tr41,NB,5,0.99,0.7,2,0.1,0.1150,0.1145,0.9487
tr41,NB,5,0.99,0.7,3,0.1,0.1156,0.1144,0.9558
tr41,NB,5,0.99,0.8,1,0.1,0.1072,0.1001,0.9267
tr41,NB,5,0.99,0.8,2,0.1,0.1139,0.1137,0.9501
tr41,NB,5,0.99,0.8,3,0.1,0.1149,0.1141,0.9571
tr41,NB,10,0.99,0.6,1,0.1,0.1230,0.1111,0.9408
tr41,NB,10,0.99,0.6,2,0.1,0.1283,0.1180,0.9635
tr41,NB,10,0.99,0.6,3,0.1,0.1285,0.1182,0.9735
tr41,NB,10,0.99,0.7,1,0.1,0.1223,0.1125,0.9436
tr41,NB,10,0.99,0.7,2,0.1,0.1261,0.1184,0.9639
tr41,NB,10,0.99,0.7,3,0.1,0.1267,0.1180,0.9708
tr41,NB,10,0.99,0.8,1,0.1,0.1193,0.1060,0.9369
tr41,NB,10,0.99,0.8,2,0.1,0.1242,0.1175,0.9634
tr41,NB,10,0.99,0.8,3,0.1,0.1250,0.1177,0.9726
tr41,NB,20,0.99,0.6,1,0.1,0.1330,0.1156,0.9659
tr41,NB,20,0.99,0.6,2,0.1,0.1384,0.1194,0.9828
tr41,NB,20,0.99,0.6,3,0.1,0.1384,0.1189,0.9864
tr41,NB,20,0.99,0.7,1,0.1,0.1325,0.1178,0.9674
tr41,NB,20,0.99,0.7,2,0.1,0.1355,0.1191,0.9853
tr41,NB,20,0.99,0.7,3,0.1,0.1342,0.1182,0.9805
tr41,NB,20,0.99,0.8,1,0.1,0.1327,0.1143,0.9656
tr41,NB,20,0.99,0.8,2,0.1,0.1320,0.1188,0.9825
tr41,NB,20,0.99,0.8,3,0.1,0.1320,0.1185,0.9852
tr41,NB,30,0.99,0.6,1,0.1,0.1446,0.1209,0.9868
tr41,NB,30,0.99,0.6,2,0.1,0.1495,0.1223,0.9887
tr41,NB,30,0.99,0.6,3,0.1,0.1487,0.1212,0.9908
tr41,NB,30,0.99,0.7,1,0.1,0.1448,0.1222,0.9864
tr41,NB,30,0.99,0.7,2,0.1,0.1450,0.1209,0.9915
tr41,NB,30,0.99,0.7,3,0.1,0.1445,0.1200,0.9878
tr41,NB,30,0.99,0.8,1,0.1,0.1440,0.1195,0.9812
tr41,NB,30,0.99,0.8,2,0.1,0.1411,0.1202,0.9888
tr41,NB,30,0.99,0.8,3,0.1,0.1406,0.1195,0.9900
tr31,EM,1,0.99,0.6,1,0.1,0.0000,0.0000,0.8578
tr31,EM,1,0.99,0.6,1,0.3,0.0000,0.0000,0.8578
tr31,EM,1,0.99,0.6,1,0.5,0.0005,0.0038,0.8578
tr31,EM,1,0.99,0.6,1,0.7,0.0014,0.0064,0.8578
tr31,EM,1,0.99,0.6,1,0.9,0.0048,0.0112,0.8578
tr31,EM,1,0.99,0.6,2,0.1,0.0008,0.0020,0.8580
tr31,EM,1,0.99,0.6,2,0.3,0.0013,0.0035,0.8580
tr31,EM,1,0.99,0.6,2,0.5,0.0013,0.0035,0.8580
tr31,EM,1,0.99,0.6,2,0.7,0.0034,0.0062,0.8580
tr31,EM,1,0.99,0.6,2,0.9,0.0034,0.0062,0.8580
tr31,EM,1,0.99,0.6,3,0.1,0.0059,0.0120,0.8586
tr31,EM,1,0.99,0.6,3,0.3,0.0059,0.0132,0.8586
tr31,EM,1,0.99,0.6,3,0.5,0.0083,0.0188,0.8586
tr31,EM,1,0.99,0.6,3,0.7,0.0107,0.0246,0.8586
tr31,EM,1,0.99,0.6,3,0.9,0.0111,0.0246,0.8586
tr31,EM,1,0.99,0.7,1,0.1,0.0000,0.0000,0.8579
tr31,EM,1,0.99,0.7,1,0.3,0.0000,0.0000,0.8579
tr31,EM,1,0.99,0.7,1,0.5,0.0009,0.0074,0.8579
tr31,EM,1,0.99,0.7,1,0.7,0.0041,0.0118,0.8579
tr31,EM,1,0.99,0.7,1,0.9,0.0083,0.0203,0.8579
tr31,EM,1,0.99,0.7,2,0.1,0.0123,0.0171,0.8581
tr31,EM,1,0.99,0.7,2,0.3,0.0116,0.0174,0.8581
tr31,EM,1,0.99,0.7,2,0.5,0.0116,0.0174,0.8581
tr31,EM,1,0.99,0.7,2,0.7,0.0153,0.0231,0.8581
tr31,EM,1,0.99,0.7,2,0.9,0.0173,0.0273,0.8581
tr31,EM,1,0.99,0.7,3,0.1,0.0104,0.0176,0.8580
tr31,EM,1,0.99,0.7,3,0.3,0.0122,0.0228,0.8580
tr31,EM,1,0.99,0.7,3,0.5,0.0115,0.0229,0.8580
tr31,EM,1,0.99,0.7,3,0.7,0.0114,0.0228,0.8580
tr31,EM,1,0.99,0.7,3,0.9,0.0118,0.0229,0.8580
tr31,EM,1,0.99,0.8,1,0.1,0.0000,0.0000,0.8579
tr31,EM,1,0.99,0.8,1,0.3,0.0000,0.0000,0.8579
tr31,EM,1,0.99,0.8,1,0.5,0.0009,0.0074,0.8579
tr31,EM,1,0.99,0.8,1,0.7,0.0041,0.0118,0.8579
tr31,EM,1,0.99,0.8,1,0.9,0.0043,0.0119,0.8579
tr31,EM,1,0.99,0.8,2,0.1,0.0212,0.0329,0.8578
tr31,EM,1,0.99,0.8,2,0.3,0.0215,0.0331,0.8578
tr31,EM,1,0.99,0.8,2,0.5,0.0241,0.0346,0.8578
tr31,EM,1,0.99,0.8,2,0.7,0.0241,0.0346,0.8578
tr31,EM,1,0.99,0.8,2,0.9,0.0236,0.0350,0.8578
tr31,EM,1,0.99,0.8,3,0.1,0.0031,0.0084,0.8574
tr31,EM,1,0.99,0.8,3,0.3,0.0061,0.0136,0.8574
tr31,EM,1,0.99,0.8,3,0.5,0.0112,0.0238,0.8574
tr31,EM,1,0.99,0.8,3,0.7,0.0112,0.0238,0.8574
tr31,EM,1,0.99,0.8,3,0.9,0.0112,0.0238,0.8574
tr31,EM,5,0.99,0.6,1,0.1,0.0036,0.0091,0.8425
tr31,EM,5,0.99,0.6,1,0.3,0.0043,0.0120,0.8425
tr31,EM,5,0.99,0.6,1,0.5,0.0057,0.0160,0.8425
tr31,EM,5,0.99,0.6,1,0.7,0.0090,0.0245,0.8425
tr31,EM,5,0.99,0.6,1,0.9,0.0120,0.0282,0.8425
tr31,EM,5,0.99,0.6,2,0.1,0.0060,0.0099,0.8424
tr31,EM,5,0.99,0.6,2,0.3,0.0058,0.0094,0.8424
tr31,EM,5,0.99,0.6,2,0.5,0.0045,0.0085,0.8424
tr31,EM,5,0.99,0.6,2,0.7,0.0072,0.0119,0.8424
tr31,EM,5,0.99,0.6,2,0.9,0.0088,0.0146,0.8424
tr31,EM,5,0.99,0.6,3,0.1,0.0131,0.0211,0.8432
tr31,EM,5,0.99,0.6,3,0.3,0.0139,0.0255,0.8432
tr31,EM,5,0.99,0.6,3,0.5,0.0148,0.0272,0.8432
tr31,EM,5,0.99,0.6,3,0.7,0.0161,0.0292,0.8432
tr31,EM,5,0.99,0.6,3,0.9,0.0176,0.0297,0.8432
tr31,EM,5,0.99,0.7,1,0.1,0.0050,0.0131,0.8422
tr31,EM,5,0.99,0.7,1,0.3,0.0059,0.0157,0.8422
tr31,EM,5,0.99,0.7,1,0.5,0.0079,0.0200,0.8422
tr31,EM,5,0.99,0.7,1,0.7,0.0107,0.0234,0.8422
tr31,EM,5,0.99,0.7,1,0.9,0.0129,0.0258,0.8422
tr31,EM,5,0.99,0.7,2,0.1,0.0197,0.0232,0.8424
tr31,EM,5,0.99,0.7,2,0.3,0.0179,0.0236,0.8424
tr31,EM,5,0.99,0.7,2,0.5,0.0194,0.0265,0.8424
tr31,EM,5,0.99,0.7,2,0.7,0.0230,0.0324,0.8424
tr31,EM,5,0.99,0.7,2,0.9,0.0245,0.0344,0.8424
tr31,EM,5,0.99,0.7,3,0.1,0.0201,0.0271,0.8426
tr31,EM,5,0.99,0.7,3,0.3,0.0199,0.0280,0.8426
tr31,EM,5,0.99,0.7,3,0.5,0.0187,0.0283,0.8426
tr31,EM,5,0.99,0.7,3,0.7,0.0199,0.0294,0.8426
tr31,EM,5,0.99,0.7,3,0.9,0.0213,0.0309,0.8426
tr31,EM,5,0.99,0.8,1,0.1,0.0178,0.0366,0.8435
tr31,EM,5,0.99,0.8,1,0.3,0.0186,0.0366,0.8435
tr31,EM,5,0.99,0.8,1,0.5,0.0189,0.0387,0.8435
tr31,EM,5,0.99,0.8,1,0.7,0.0205,0.0371,0.8435
tr31,EM,5,0.99,0.8,1,0.9,0.0222,0.0378,0.8435
tr31,EM,5,0.99,0.8,2,0.1,0.0287,0.0350,0.8420
tr31,EM,5,0.99,0.8,2,0.3,0.0292,0.0375,0.8420
tr31,EM,5,0.99,0.8,2,0.5,0.0305,0.0380,0.8420
tr31,EM,5,0.99,0.8,2,0.7,0.0305,0.0380,0.8420
tr31,EM,5,0.99,0.8,2,0.9,0.0300,0.0385,0.8420
tr31,EM,5,0.99,0.8,3,0.1,0.0078,0.0122,0.8425
tr31,EM,5,0.99,0.8,3,0.3,0.0109,0.0157,0.8425
tr31,EM,5,0.99,0.8,3,0.5,0.0126,0.0218,0.8425
tr31,EM,5,0.99,0.8,3,0.7,0.0131,0.0226,0.8425
