Text Collection,# of Positive Labeled Documents,k,One Class Learning Threshold,F1 Score
CSTR,10,5,0.55,0.0000
CSTR,10,5,0.60,0.0000
CSTR,10,5,0.65,0.0000
CSTR,10,5,0.70,0.0000
CSTR,10,5,0.75,0.0000
CSTR,10,5,0.80,0.0000
CSTR,10,5,0.85,0.0000
CSTR,10,5,0.90,0.0000
CSTR,10,5,0.95,0.0000
CSTR,10,5,average+1sigma,0.0076
CSTR,10,5,average+2sigma,0.0045
CSTR,10,5,average+3sigma,0.0045
CSTR,10,5,average-1sigma,0.0149
CSTR,10,5,average-2sigma,0.0233
CSTR,10,5,average-3sigma,0.0401
CSTR,10,5,average,0.0085
CSTR,10,5,minimum,0.0862
CSTR,10,7,0.05,0.6633
CSTR,10,7,0.10,0.4672
CSTR,10,7,0.15,0.2197
CSTR,10,7,0.20,0.0655
CSTR,10,7,0.25,0.0211
CSTR,10,7,0.30,0.0076
CSTR,10,7,0.35,0.0014
CSTR,10,7,0.40,0.0000
CSTR,10,7,0.45,0.0000
CSTR,10,7,0.50,0.0000
CSTR,10,7,0.55,0.0000
CSTR,10,7,0.60,0.0000
CSTR,10,7,0.65,0.0000
CSTR,10,7,0.70,0.0000
CSTR,10,7,0.75,0.0000
CSTR,10,7,0.80,0.0000
CSTR,10,7,0.85,0.0000
CSTR,10,7,0.90,0.0000
CSTR,10,7,0.95,0.0000
CSTR,10,7,average+1sigma,0.0081
CSTR,10,7,average+2sigma,0.0077
CSTR,10,7,average+3sigma,0.0077
CSTR,10,7,average-1sigma,0.0197
CSTR,10,7,average-2sigma,0.0339
CSTR,10,7,average-3sigma,0.0502
CSTR,10,7,average,0.0135
CSTR,10,7,minimum,0.1210
CSTR,10,9,0.05,0.6739
CSTR,10,9,0.10,0.3588
CSTR,10,9,0.15,0.1093
CSTR,10,9,0.20,0.0240
CSTR,10,9,0.25,0.0076
CSTR,10,9,0.30,0.0014
CSTR,10,9,0.35,0.0000
CSTR,10,9,0.40,0.0000
CSTR,10,9,0.45,0.0000
CSTR,10,9,0.50,0.0000
CSTR,10,9,0.55,0.0000
CSTR,10,9,0.60,0.0000
CSTR,10,9,0.65,0.0000
CSTR,10,9,0.70,0.0000
CSTR,10,9,0.75,0.0000
CSTR,10,9,0.80,0.0000
CSTR,10,9,0.85,0.0000
CSTR,10,9,0.90,0.0000
CSTR,10,9,0.95,0.0000
CSTR,10,9,average+1sigma,0.0117
CSTR,10,9,average+2sigma,0.0085
CSTR,10,9,average+3sigma,0.0077
CSTR,10,9,average-1sigma,0.0248
CSTR,10,9,average-2sigma,0.0374
CSTR,10,9,average-3sigma,0.0648
CSTR,10,9,average,0.0167
CSTR,10,9,minimum,0.1418
CSTR,20,11,0.05,0.5904
CSTR,20,11,0.10,0.5403
CSTR,20,11,0.15,0.3040
CSTR,20,11,0.20,0.1476
CSTR,20,11,0.25,0.0328
CSTR,20,11,0.30,0.0019
CSTR,20,11,0.35,0.0000
CSTR,20,11,0.40,0.0000
CSTR,20,11,0.45,0.0000
CSTR,20,11,0.50,0.0000
CSTR,20,11,0.55,0.0000
CSTR,20,11,0.60,0.0000
CSTR,20,11,0.65,0.0000
CSTR,20,11,0.70,0.0000
