Text Collection,Graph Constructor Algorithm,Graph Parameter k,# of Positive Labeled Documents,α,λ (|D+'| = λ x |D+|),# of iterations (m),F1 Score,Standard Deviation,Negative Precision
tr21,kNN,3,5,0.08,0.8,2,0.2550,0.2865,0.8400
tr21,kNN,3,5,0.08,0.8,3,0.2546,0.2865,0.8450
tr21,kNN,3,5,0.08,1,1,0.2560,0.2814,0.8380
tr21,kNN,3,5,0.08,1,2,0.2550,0.2865,0.8400
tr21,kNN,3,5,0.08,1,3,0.2546,0.2865,0.8450
tr21,kNN,3,5,0.08,1.2,1,0.2604,0.2811,0.8327
tr21,kNN,3,5,0.08,1.2,2,0.2619,0.2817,0.8345
tr21,kNN,3,5,0.08,1.2,3,0.2546,0.2865,0.8450
tr21,kNN,3,5,0.08,1.4,1,0.2619,0.2813,0.8317
tr21,kNN,3,5,0.08,1.4,2,0.2619,0.2817,0.8345
tr21,kNN,3,5,0.08,1.4,3,0.2622,0.2819,0.8345
tr21,kNN,3,5,0.08,2,1,0.2712,0.2848,0.8400
tr21,kNN,3,5,0.08,2,2,0.2764,0.2846,0.8400
tr21,kNN,3,5,0.08,2,3,0.2696,0.2837,0.8314
tr21,kNN,3,5,0.06,0.2,1,0.2533,0.2862,0.8600
tr21,kNN,3,5,0.06,0.2,2,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.06,0.2,3,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.06,0.6,1,0.2548,0.2864,0.8450
tr21,kNN,3,5,0.06,0.6,2,0.2549,0.2866,0.8514
tr21,kNN,3,5,0.06,0.6,3,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.06,0.8,1,0.2565,0.2858,0.8422
tr21,kNN,3,5,0.06,0.8,2,0.2569,0.2861,0.8422
tr21,kNN,3,5,0.06,0.8,3,0.2552,0.2866,0.8450
tr21,kNN,3,5,0.06,1,1,0.2633,0.2815,0.8380
tr21,kNN,3,5,0.06,1,2,0.2569,0.2861,0.8422
tr21,kNN,3,5,0.06,1,3,0.2552,0.2866,0.8450
tr21,kNN,3,5,0.06,1.2,1,0.2665,0.2819,0.8327
tr21,kNN,3,5,0.06,1.2,2,0.2651,0.2818,0.8345
tr21,kNN,3,5,0.06,1.2,3,0.2552,0.2866,0.8450
tr21,kNN,3,5,0.06,1.4,1,0.2668,0.2818,0.8317
tr21,kNN,3,5,0.06,1.4,2,0.2651,0.2818,0.8345
tr21,kNN,3,5,0.06,1.4,3,0.2655,0.2821,0.8345
tr21,kNN,3,5,0.06,2,1,0.2817,0.2877,0.8427
tr21,kNN,3,5,0.06,2,2,0.2826,0.2838,0.8400
tr21,kNN,3,5,0.06,2,3,0.2776,0.2836,0.8300
tr21,kNN,3,5,0.04,0.2,1,0.2533,0.2862,0.8600
tr21,kNN,3,5,0.04,0.2,2,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.04,0.2,3,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.04,0.6,1,0.2548,0.2864,0.8450
tr21,kNN,3,5,0.04,0.6,2,0.2549,0.2866,0.8514
tr21,kNN,3,5,0.04,0.6,3,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.04,0.8,1,0.2602,0.2864,0.8467
tr21,kNN,3,5,0.04,0.8,2,0.2569,0.2861,0.8400
tr21,kNN,3,5,0.04,0.8,3,0.2552,0.2866,0.8450
tr21,kNN,3,5,0.04,1,1,0.2624,0.2813,0.8380
tr21,kNN,3,5,0.04,1,2,0.2569,0.2861,0.8400
tr21,kNN,3,5,0.04,1,3,0.2552,0.2866,0.8450
