Text Collection,Graph Constructor Algorithm,Graph Parameter (k or ε),# of Positive Labeled Documents (D+),Label Propagation Algorithm,"Extracted Negatives Docs (num_neg = {1,2,5,10} x |D+|)",LLGC parameter (α),F1 Score,Standard Deviation,Negative Precision
CSTR,MkNN,11,5,LLGC,x10,0.1,0.6221,0.0805,0.9420
CSTR,MkNN,11,5,LLGC,x10,0.3,0.6319,0.0863,0.9420
CSTR,MkNN,11,5,LLGC,x10,0.5,0.6454,0.0970,0.9420
CSTR,MkNN,11,5,LLGC,x10,0.7,0.6508,0.1233,0.9420
CSTR,MkNN,11,5,LLGC,x10,0.9,0.5163,0.2846,0.9420
CSTR,MkNN,11,10,LLGC,x1,0.1,0.4590,0.1962,0.9600
CSTR,MkNN,11,10,LLGC,x1,0.3,0.4597,0.1964,0.9600
CSTR,MkNN,11,10,LLGC,x1,0.5,0.4610,0.1970,0.9600
CSTR,MkNN,11,10,LLGC,x1,0.7,0.4613,0.1992,0.9600
CSTR,MkNN,11,10,LLGC,x1,0.9,0.4552,0.2022,0.9600
CSTR,MkNN,11,10,LLGC,x2,0.1,0.4949,0.1976,0.9612
CSTR,MkNN,11,10,LLGC,x2,0.3,0.4986,0.1995,0.9612
CSTR,MkNN,11,10,LLGC,x2,0.5,0.5041,0.2022,0.9612
CSTR,MkNN,11,10,LLGC,x2,0.7,0.5132,0.2077,0.9612
CSTR,MkNN,11,10,LLGC,x2,0.9,0.5349,0.2225,0.9612
CSTR,MkNN,11,10,LLGC,x5,0.1,0.5968,0.1251,0.9395
CSTR,MkNN,11,10,LLGC,x5,0.3,0.6085,0.1199,0.9395
CSTR,MkNN,11,10,LLGC,x5,0.5,0.6301,0.1124,0.9395
CSTR,MkNN,11,10,LLGC,x5,0.7,0.6595,0.0958,0.9395
CSTR,MkNN,11,10,LLGC,x5,0.9,0.6786,0.1108,0.9395
CSTR,MkNN,11,10,LLGC,x10,0.1,0.6311,0.0800,0.9263
CSTR,MkNN,11,10,LLGC,x10,0.3,0.6323,0.0877,0.9263
CSTR,MkNN,11,10,LLGC,x10,0.5,0.6345,0.1021,0.9263
CSTR,MkNN,11,10,LLGC,x10,0.7,0.6310,0.1570,0.9263
CSTR,MkNN,11,10,LLGC,x10,0.9,0.4196,0.3588,0.9263
CSTR,MkNN,11,20,LLGC,x1,0.1,0.4093,0.2252,0.9600
CSTR,MkNN,11,20,LLGC,x1,0.3,0.4121,0.2256,0.9600
CSTR,MkNN,11,20,LLGC,x1,0.5,0.4140,0.2264,0.9600
CSTR,MkNN,11,20,LLGC,x1,0.7,0.4149,0.2267,0.9600
CSTR,MkNN,11,20,LLGC,x1,0.9,0.4146,0.2251,0.9600
CSTR,MkNN,11,20,LLGC,x2,0.1,0.4719,0.2345,0.9475
CSTR,MkNN,11,20,LLGC,x2,0.3,0.4787,0.2363,0.9475
CSTR,MkNN,11,20,LLGC,x2,0.5,0.4858,0.2373,0.9475
CSTR,MkNN,11,20,LLGC,x2,0.7,0.4982,0.2400,0.9475
CSTR,MkNN,11,20,LLGC,x2,0.9,0.5304,0.2435,0.9475
CSTR,MkNN,11,20,LLGC,x5,0.1,0.5649,0.1720,0.9350
CSTR,MkNN,11,20,LLGC,x5,0.3,0.5743,0.1658,0.9350
CSTR,MkNN,11,20,LLGC,x5,0.5,0.5863,0.1613,0.9350
CSTR,MkNN,11,20,LLGC,x5,0.7,0.6059,0.1494,0.9350
CSTR,MkNN,11,20,LLGC,x5,0.9,0.5742,0.1796,0.9350
CSTR,MkNN,11,20,LLGC,x10,0.1,0.5382,0.1638,0.8989
CSTR,MkNN,11,20,LLGC,x10,0.3,0.5299,0.1736,0.8989
CSTR,MkNN,11,20,LLGC,x10,0.5,0.5276,0.1971,0.8989
CSTR,MkNN,11,20,LLGC,x10,0.7,0.4944,0.2786,0.8989
CSTR,MkNN,11,20,LLGC,x10,0.9,0.3514,0.3652,0.8989
CSTR,MkNN,11,30,LLGC,x1,0.1,0.4919,0.1391,0.9400
CSTR,MkNN,11,30,LLGC,x1,0.3,0.4938,0.1355,0.9400
CSTR,MkNN,11,30,LLGC,x1,0.5,0.4959,0.1317,0.9400
CSTR,MkNN,11,30,LLGC,x1,0.7,0.4952,0.1263,0.9400
CSTR,MkNN,11,30,LLGC,x1,0.9,0.4918,0.1123,0.9400
CSTR,MkNN,11,30,LLGC,x2,0.1,0.5771,0.1320,0.9367
CSTR,MkNN,11,30,LLGC,x2,0.3,0.5866,0.1294,0.9367
CSTR,MkNN,11,30,LLGC,x2,0.5,0.5935,0.1297,0.9367
CSTR,MkNN,11,30,LLGC,x2,0.7,0.6116,0.1151,0.9367
CSTR,MkNN,11,30,LLGC,x2,0.9,0.6562,0.0842,0.9367
CSTR,MkNN,11,30,LLGC,x5,0.1,0.6530,0.0547,0.9031
CSTR,MkNN,11,30,LLGC,x5,0.3,0.6544,0.0521,0.9031
CSTR,MkNN,11,30,LLGC,x5,0.5,0.6570,0.0600,0.9031
CSTR,MkNN,11,30,LLGC,x5,0.7,0.6545,0.0843,0.9031
CSTR,MkNN,11,30,LLGC,x5,0.9,0.4610,0.2917,0.9031
CSTR,MkNN,11,30,LLGC,x10,0.1,0.0000,0.0000,0.7720
CSTR,MkNN,11,30,LLGC,x10,0.3,0.0000,0.0000,0.7720
CSTR,MkNN,11,30,LLGC,x10,0.5,0.0000,0.0000,0.7720
CSTR,MkNN,11,30,LLGC,x10,0.7,0.0363,0.0889,0.7720
CSTR,MkNN,11,30,LLGC,x10,0.9,0.1050,0.1821,0.7720
CSTR,MkNN,15,1,LLGC,x1,0.1,0.4553,0.1811,0.8750
CSTR,MkNN,15,1,LLGC,x1,0.3,0.4593,0.1838,0.8750
CSTR,MkNN,15,1,LLGC,x1,0.5,0.4630,0.1870,0.8750
CSTR,MkNN,15,1,LLGC,x1,0.7,0.4667,0.1907,0.8750
CSTR,MkNN,15,1,LLGC,x1,0.9,0.4701,0.1941,0.8750
CSTR,MkNN,15,1,LLGC,x2,0.1,0.4846,0.1754,0.8875
CSTR,MkNN,15,1,LLGC,x2,0.3,0.4914,0.1793,0.8875
CSTR,MkNN,15,1,LLGC,x2,0.5,0.4982,0.1834,0.8875
CSTR,MkNN,15,1,LLGC,x2,0.7,0.5078,0.1895,0.8875
CSTR,MkNN,15,1,LLGC,x2,0.9,0.5327,0.2125,0.8875
CSTR,MkNN,15,1,LLGC,x5,0.1,0.5221,0.1618,0.9100
CSTR,MkNN,15,1,LLGC,x5,0.3,0.5288,0.1589,0.9100
CSTR,MkNN,15,1,LLGC,x5,0.5,0.5392,0.1600,0.9100
CSTR,MkNN,15,1,LLGC,x5,0.7,0.5483,0.1627,0.9100
CSTR,MkNN,15,1,LLGC,x5,0.9,0.5090,0.2058,0.9100
CSTR,MkNN,15,1,LLGC,x10,0.1,0.5292,0.1527,0.9300
CSTR,MkNN,15,1,LLGC,x10,0.3,0.5335,0.1558,0.9300
CSTR,MkNN,15,1,LLGC,x10,0.5,0.5342,0.1675,0.9300
CSTR,MkNN,15,1,LLGC,x10,0.7,0.5130,0.1847,0.9300
CSTR,MkNN,15,1,LLGC,x10,0.9,0.3933,0.2539,0.9300
CSTR,MkNN,15,5,LLGC,x1,0.1,0.4500,0.1910,0.9500
CSTR,MkNN,15,5,LLGC,x1,0.3,0.4518,0.1912,0.9500
CSTR,MkNN,15,5,LLGC,x1,0.5,0.4546,0.1918,0.9500
CSTR,MkNN,15,5,LLGC,x1,0.7,0.4552,0.1920,0.9500
CSTR,MkNN,15,5,LLGC,x1,0.9,0.4545,0.1912,0.9500
CSTR,MkNN,15,5,LLGC,x2,0.1,0.5142,0.1914,0.9575
CSTR,MkNN,15,5,LLGC,x2,0.3,0.5192,0.1940,0.9575
CSTR,MkNN,15,5,LLGC,x2,0.5,0.5272,0.1978,0.9575
